"filename", "language", "Python", "YAML", "Markdown", "TypeScript", "JSON with Comments", "Ignore", "Java Properties", "JavaScript", "Java", "TypeScript JSX", "JSON", "XML", "JavaScript JSX", "Batch", "Docker", "CSS", "comment", "blank", "total"
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\README.md", "Markdown", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 1, 20
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 10, 9, 31
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\compose.yaml", "YAML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 26, 16, 150
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\pom.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 1, 5, 205
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\BackendApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\admin\AdminService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 13, 77
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\admin\exceptions\UnauthorizedAccessException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\admin\views\AdminAuthView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 24, 88
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\admin\views\AdminDashboardView.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 16, 107
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\admin\views\ListingRetrievalForm.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 28, 19, 162
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\AirbnbApiService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 41, 13, 181
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\ExternalApisController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 23, 14, 114
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\RentCastAPIService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 32, 15, 159
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\exceptions\FailedApiCallException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\exceptions\NoListingsFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\requests\AirbnbGeoCoordinateRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\requests\AirbnbLocationRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\requests\AreaRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\apis\requests\CityAndStateRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\AuthenticationController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 26, 14, 156
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\AuthenticationService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 43, 23, 240
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\exceptions\AuthenticationException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\exceptions\ExpiredVerificationCodeException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\exceptions\UserAlreadyVerifiedException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\requests\AuthenticateUserDto.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\requests\ChangePasswordDto.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\requests\ForgotPasswordDto.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\requests\ResendEmailDto.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\requests\VerifyUserDto.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\auth\responses\LoginResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\configs\ApplicationConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 17, 10, 66
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\configs\RestClientConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 15, 15, 81
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\configs\SecurityConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 13, 14, 80
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\email\EmailConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 9, 43
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\email\EmailService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 7, 38
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\email\EmailVerificationException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\email\InvalidEmailException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\FavoriteListing.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 9, 45
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\FavoriteListingController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 27, 12, 95
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\FavoriteListingRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\FavoriteListingService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 29, 11, 93
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\exceptions\FavoriteListingNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\requests\AddFavoriteListingsRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\favorite_listings\requests\DeleteFavoriteListingsRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\geometry\GeometrySingleton.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 10, 5, 28
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\geometry\PolygonCreator.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 11, 4, 30
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\HousingListing.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 2, 20, 67
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\HousingListingController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 38, 17, 157
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\HousingListingRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\HousingListingService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 40, 15, 139
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\exceptions\NoListingFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\exceptions\NoListingsFoundInAreaException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\requests\ExactPreferencesDto.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\requests\GetListingsByPreferenceRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\requests\GetListingsBySpecificPreferenceRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\requests\GetListingsInAreaRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\requests\HouseListing.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\housing_listings\utils\UserPreferencesFilterer.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 31, 12, 102
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\jwt\JwtAuthenticationFilter.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 5, 11, 68
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\jwt\JwtService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 12, 20, 101
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 3, 24, 100
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 24, 10, 88
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user\UserRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user\UserService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 35, 11, 84
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user\UserType.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user\requests\SetUserTypeRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\UserPreference.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 3, 24, 97
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\UserPreferenceController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 25, 15, 112
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\UserPreferenceRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\UserPreferenceService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 30, 16, 145
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\exceptions\UserPreferenceNotFound.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\requests\NewFiltersDto.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\requests\RawCoordinateUserPreferenceRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\requests\RawUserPreferenceRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\java\com\ineedhousing\backend\user_search_preferences\utils\UserPreferenceBuilder.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 5, 20, 100
"c:\Users\Argel Hernandez\Desktop\Projects\i-need-housing\backend\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
